0.000000	0	0
0.223000	0	0
0.266000	0	0
0.316000	0	0
0.366000	0	0
0.416000	0	0
0.466000	0	0
0.516000	0	0
0.566000	0	0
0.616000	0	0
0.666000	0	0
0.715000	0	0
0.765000	0	0
0.829000	0	0
0.865000	0	0
0.915000	0	0
0.965000	0	0
1.015000	0	0
1.065000	0	0
1.115000	0	0
1.165000	0	0
1.215000	0	72
1.265000	0	72
1.315000	0	72
1.365000	0	0
1.415000	0	0
1.465000	0	0
1.515000	0	0
1.565000	0	0
1.615000	0	0
1.665000	0	0
1.715000	0	0
1.765000	0	0
1.815000	0	0
1.865000	0	0
1.915000	0	0
1.965000	0	0
2.015000	0	0
2.065000	0	0
2.115000	0	0
2.165000	0	0
2.215000	0	0
2.265000	0	0
2.315000	0	0
2.365000	0	0
2.415000	0	0
2.465000	0	0
2.515000	0	0
2.565000	0	0
2.615000	0	0
2.665000	0	0
2.715000	0	0
2.765000	0	0
2.815000	0	0
2.865000	0	0
2.915000	0	0
2.965000	0	0
3.015000	0	0
3.065000	0	0
3.115000	0	0
3.165000	0	0
3.215000	133	0
3.265000	345	0
3.315000	757	0
3.365000	1049	0
3.415000	1253	0
3.465000	1477	0
3.515000	1717	416
3.565000	1937	416
3.615000	2357	416
3.665000	2761	416
3.715000	3169	416
3.765000	3273	416
3.815000	3273	416
3.865000	3305	444
3.915000	3317	464
3.965000	3341	464
4.015000	3349	464
4.065000	3349	464
4.115000	3365	464
4.165000	3373	464
4.215000	3401	464
4.265000	3449	464
4.315000	3581	464
4.365000	3765	464
4.415000	4229	464
4.465000	4809	464
4.515000	5498	464
4.565000	6142	464
4.615000	6618	464
4.665000	6722	464
4.715000	6722	464
4.765000	6722	464
4.815000	6722	464
4.865000	6722	464
4.915000	6722	464
4.965000	6722	464
5.015000	6802	464
5.065000	6846	464
5.115000	6914	464
5.165000	6934	464
5.215000	6990	464
5.265000	7078	464
5.315000	7190	464
5.365000	7358	464
5.415000	7846	464
5.465000	8326	484
5.515000	8758	540
5.565000	8866	588
5.615000	8866	656
5.665000	8866	732
5.715000	8866	740
5.765000	8866	772
5.815000	8866	772
5.865000	8866	772
5.915000	8866	796
5.965000	8866	832
6.015000	8866	876
6.065000	8866	876
6.115000	8866	916
6.165000	8866	952
6.215000	8866	968
6.265000	8866	980
6.315000	8866	1028
6.365000	8866	1028
6.415000	8866	1032
6.465000	8866	1032
6.515000	8866	1032
6.565000	8866	1032
6.615000	8866	1032
6.665000	8866	1032
6.715000	8866	1032
6.765000	8866	1032
6.815000	8866	1032
6.865000	8866	1032
6.915000	8866	1032
6.965000	8866	1052
7.015000	8866	1100
7.065000	8866	1100
7.115000	8866	1132
7.165000	8866	1184
7.215000	8866	1316
7.281000	8866	1452
7.316000	8866	1592
7.366000	8866	1732
7.416000	8882	1856
7.466000	8926	1884
7.516000	9022	1936
7.566000	9034	1936
7.616000	9082	1936
7.666000	9126	1996
7.716000	9242	1996
